Title,Company,Expereince,Salary,Location,Qualification,Posted
Legal Counsel,IBM,13-17 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru, Delhi / NCR", Your Role and ResponsibilitiesJob Description:The successful candidate will be part of ...,2 Days Ago
Marketing Executive,Ion Exchange,2-7 Yrs,1-5 Lacs PA,"Bangalore/ Bengaluru, Karnataka, Vadodara/ Baroda, Gujarat, Mumbai (All Areas)"," Candidate must have experience into Branding, Promotion, Exhibition, and Marketing Requ...",2 Days Ago
SAN Storage Administration Professional,Capgemini,4-6 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru", Monitors escalates and re mediate NAS SAN device application access performance events ...,1 Day Ago
Principal Success Manager,Salesforce,8-10 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru", good to have) . - . - Salesforce Marketing Cloud Email Specialist . - Salesforce Market...,2 Days Ago
Principal Engineering Manager - Ad Tech,The Walt Disney Company,15-20 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru", Preferred Education & Experience . Bachelors Degree in Computer Science or related fiel...,2 Days Ago
Program Manager ( E-commerce ) - Supply Chain / Logistics @ Croma,Croma,3-6 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," The ideal candidate will have a strong understanding of supply chain management, as wel...",1 Day Ago
CN - Strategy - MC - SC&O - S2P Tech & Org,Accenture,2-4 Yrs,Not disclosed,Mumbai, CN - Strategy - MC - SC&O - S2P Tech & Org - Procurement Transformation - 09Sourcing an...,1 Day Ago
Manager / Sr. Manager - HRBP (Sales),Dainik Bhaskar Group,9-14 Yrs,Not disclosed,"Mumbai, Maharashtra", Our new launches have been taken up as case studies by leading management institutes in...,1 Day Ago
Scientific Business Manager - Oncology,Cipla,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Delhi / NCR, Bangalore/Bengaluru", 4+ years of pharmaceutical sales experience in Oncology therapy background,5 Days Ago
Data Science - Market Mix Modelling - Senior Associate 2 - ANI,PwC,6-11 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," Solid knowledge and experience of supervised, unsupervised machine learning algorithms....",6 Days Ago
Data Science - Market Mix Modelling - Associate 2- ANI,PwC,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," At PwC, experienced Associates will work as an integral part of business analytics team...",3 Days Ago
Data Science- Market Mix Modelling- Senior Associate - ANI,PwC,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," At PwC, Senior Associate s will work as an integral part of business analytics teams in...",4 Days Ago
Data Science- Manager,PwC,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," Solid knowledge and experience of supervised, unsupervised machine learning algorithms....",5 Days Ago
Data Engineer-Associate-P&T,PwC,0-5 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", Understanding architectural design and data platform delivery in technologies that incl...,8 Days Ago
PwC AC - Oracle Cloud Technical - Hybrid - Multiple locations,PwC Service Delivery Center,5-10 Yrs,Not disclosed,"Hybrid - Mumbai, Maharashtra, Hyderabad/Secunderabad, Bangalore/Bengaluru", Role & responsibilities We are looking for Oracle Cloud Technical Consultant experience...,5 Days Ago
E-Relationship Manager,ICICI Bank,0-5 Yrs,3-6 Lacs PA,"Hyderabad/ Secunderabad, Telangana, Jaipur, Rajasthan, Bangalore/Bengaluru, Mumbai (All Areas)", It is a channel designed to enable the transaction capability of a customer and offer p...,13 Days Ago
EMS Standard Support- Senior Manager - P&T,PwC,12-15 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", The Entity Management Services Sr Manager is responsible for the overall management of ...,2 Days Ago
Data Quality Engineer-Senior Associate (P&T),PwC,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru"," As a Senior Associate, you ll work as part of a team of problem solvers with extensive ...",2 Days Ago
Sharepoint Developers,Infosys,5-10 Yrs,3.5-8.5 Lacs PA,"Indore, Madhya Pradesh, Hyderabad/ Secunderabad, Telangana, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", BRole & responsibilities . achelors degree or foreign equivalent from an accredited ins...,2 Days Ago
Data Engineering (Azure) - Senior Manager - ANI,PwC,12-16 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru", Experience with deep understanding in both traditional and modern data architecture and...,4 Days Ago
Senior Java Fullstack Developer | Contract To Hire,Deloitte,7-12 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Role & responsibilities Develop solutions with an Agile Development teamDefine, produce...",5 Days Ago
Software Quality Engineer,NCR Corporation,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Experience or atleast understanding of devOps processes and. tools like CI / CD, Jenkin...",5 Days Ago
Aws DevOps & Cloud Formation Consultant,Capgemini,9-12 Yrs,Not disclosed,"Hybrid - Hyderabad/ Secunderabad, Telangana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", AWS certified at an appropriate level Have experience with Infrastructure as Code devel...,6 Days Ago
Guidewire Integration Developer-3-10Y-Bangalore/Hyd/Kolkata-PWC SDC,PwC Service Delivery Center,4-8 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)", Position: Guidewire Integration DeveloperLocation: Bangalore/Kolkata/Mumbai/HyderabadEx...,3 Days Ago
Golang Developer with Kubernets-Bangalore/HYD/Chennai,Wipro,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Expert experience in Golang Over 5 years of software development experience Good archit...,4 Days Ago
Sap Successfactors Consultant,Allegis Group,6-11 Yrs,Not disclosed,"Kolkata, West Bengal, Pune, Maharashtra, Ahmedabad, Gujarat, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Employee Central - Manager - PAN India . Only Looking for candidate with B Tech /BE/ MC...,10 Days Ago
SAP SD Consultant ( 3- 12 years ),Allegis Group,3-8 Yrs,17-22.5 Lacs PA,"Kolkata, Pune, Ahmedabad, Chennai, Tamil Nadu, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech /CA / ICWA Passout . Total Year...,10 Days Ago
Sap Abap Technical Consultant,Allegis Group,4-9 Yrs,Not disclosed,"Kolkata, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech /CA / ICWA Passout,10 Days Ago
Sap Fico Consultant - Pan India ( 2- 12 Years ),Allegis Group,2-7 Yrs,Not disclosed,"Kolkata, Pune, Ahmedabad, Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)"," Dear Candidate, Greetings from Allegis Global Solution!!! COMPANY PROFILE: Allegis Grou...",10 Days Ago
CN - CG&S - S4 Intelligent Functions - Analyst,Accenture,1-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Be responsible for integration with different ERP Solutions including SAP and create pr...,10 Days Ago
Azure Developer,Capgemini,5-10 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Mumbai, Maharashtra, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/Bengaluru"," Bachelor degree in Computer Science, Information Technology or related field Hands on e...",9 Days Ago
Immediate Opening For MSD 365 Fin Func - Hexaware Technologies,Hexaware Technologies,6-11 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)"," Must possess strong communication, collaboration, and presentation soft skillsExperienc...",9 Days Ago
Pricing & Deal Analyst,Capgemini,4-9 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Complete or support Client pricing sheets calculation Support financial t&cs responses/...,13 Days Ago
Urgent Opening For Oracle ATG or Endeca Developer,Infogain,4-8 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Bangalore/Bengaluru, Mumbai (All Areas)", Experience in designing and implementing RESTful APIs and microservices architecture Re...,3 Days Ago
Technical Lead  Full Stack .NET,Citiustech,5-8 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," CitiusTech is committed to building a diverse and inclusive team, and we invite talente...",13 Days Ago
Sap Sd Consultant,Allegis Group,6-10 Yrs,Not disclosed,"Kolkata, West Bengal, Pune, Chennai, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech Passout .Not More than 2 Year G...,10 Days Ago
Infogain India is hiring For .Net Architect,Infogain,12-20 Yrs,Not disclosed,"Hybrid - Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)", Greeting form Infogain!We are having Immediate requirement for Application Architecture...,3 Days Ago
SuccessFactors Consultant/Sr.Consultant,KPMG India,4-9 Yrs,Not disclosed,"Chandigarh, Chandigarh, Pune, Maharashtra, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", We are looking for an experienced and motivated SAP SuccessFactors Employee Central con...,11 Days Ago
Infogain India is Hiring For  GCP Application Architect,Infogain,12-20 Yrs,Not disclosed,"Hybrid - Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)", Greeting form Infogain!We are having Immediate requirement for GCP Application Architec...,3 Days Ago
Infogain India is Hiring For UI Architect (React.js & Next.js),Infogain,12-20 Yrs,Not disclosed,"Hybrid - Noida, Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Mandatory Skills Required- is added advantage- React.js, Next.js, Node.js, Express.js i...",3 Days Ago
Assurance - CoE - Associate (FTH),PwC,0-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru", Understand the process workflow related to work requests from initiation through comple...,1 Day Ago
Opening For .Net Developer@Bangalore/Pune/Mumbai/Noida,Infogain,4-8 Yrs,Not disclosed,"Hybrid - Noida, Mumbai, Pune, Bangalore/Bengaluru", Good verbal and written communication is a mustGood to have hands on experience in Reac...,2 Days Ago
Snowflake Developer,Infogain,6-8 Yrs,Not disclosed,"Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru, Mumbai (All Areas)", Extensive experience and hands-on with Snowflake as a Datawarehouse platformKnowledge a...,3 Days Ago
C#.net||Web Form|| Job opening For Infogain,Infogain,4-9 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Must have good HTML5, Bootstrap, JavaScript, OOPs concept, ES6 Concepts Must have knowl...",3 Days Ago
Data Engineer,Intelliswift,4-9 Yrs,8-18 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Dear Candidate, Greetings from Intelliswift Software India Pvt. Ltd.We have an opening ...",3 Days Ago
Devops OCI,Trigyn Technologies,7-12 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)"," Advance Certification on OCI cloudPrior experience in designing, implementing or suppor...",5 Days Ago
"Incident, Problem & Major Incident Manager",Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Adjusting the incident management process as required to ensure its effectiveness,8 Days Ago
Job opportunity For Data Quality Analyst (Informatica BDQ/CDQ)Hexaware,Hexaware Technologies,5-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru, Mumbai (All Areas)", Role & responsibilities Data Quality Analyst (Informatica BDQ/CDQ): CDQ IDQ opening Str...,8 Days Ago
Hexaware is Hiring Guidewire Claim Center developer,Hexaware Technologies,4-9 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," Strong experience in Java and Gosu to build and maintain a general insurance policy, bi...",9 Days Ago
Vulnerability Management SME,Capgemini,8-12 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/Bengaluru, Mumbai (All Areas)", Skill Required Knowledge of application network and operating system security Prioritiz...,9 Days Ago
Integration Architect,Hexaware Technologies,15-20 Yrs,15-30 Lacs PA,"Hybrid - Pune, Maharashtra, Bangalore Rural, Karnataka, Chennai, Tamil Nadu, Mumbai (All Areas)", Warm Greetings from Hexaware Technologies...!!! We are looking for Senior Integration A...,10 Days Ago
Practice Architect - Imaging,Citiustech,14-20 Yrs,Not disclosed,"Hybrid - Mumbai, Maharashtra, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka"," Extensive experience with AWS services such as EC2, S3, Lambda, RDS, and RedshiftTechni...",10 Days Ago
Azure Data Engineer - DataBricks,Hexaware Technologies,5-10 Yrs,8-17 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Leading the delivery of data quality reviews including data cleansing where required to...,10 Days Ago
Data Integration Engineer - Talend Developer + Admin,Hexaware Technologies,5-10 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Experience: 5 to 7 yearsJob Locations: Chennai, Bangalore, Pune, Mumbai Primary Skills ...",10 Days Ago
Job Opportunity  Informatica MDM(Profisee) Opportunity with Hexaware!!,Hexaware Technologies,3-8 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Experience in MDM development on following componentsRequired technical and professiona...,11 Days Ago
GCP Engineer,Capgemini,9-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Preferably on Google Cloud infrastructureExperience in providing solutions for automati...,12 Days Ago
Oracle Data Integrator Developer,Hexaware Technologies,4-6 Yrs,3-6 Lacs PA,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Good knowledge of version control tools, preferably Bitbucket Experience: 4 to 6 years....",11 Days Ago
Azure Data Engineer - DataBricks,Hexaware Technologies,6-10 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Experience: 6 to 10 yearsJob Locations: Chennai, Bangalore, Pune, MumbaiLevel of Interv...",11 Days Ago
Data Architect,Hexaware Technologies,13-20 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)"," Should be able to define modern data eco system, considering current and futuristic dat...",12 Days Ago
Immediate Job Opening For Workday Functional - Hexaware Technologies,Hexaware Technologies,8-13 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", Certified in Workday HCM is preferred Should have experience in Application Support Goo...,12 Days Ago
Data Modeler,Capgemini,10-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"," Good to have experience with various relational databases like Postgres / MySQL, MPP da...",13 Days Ago
Servicenow ITSM Developer,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru", Review the work done by team members as per ServiceNow best practices . Primary Skills ...,13 Days Ago
React JS Professional,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru", Strong knowledge of web architecture / design and web best practices RequiredExperience...,13 Days Ago
Assistant Manager- Sales ( Ocean/ Air Freight),Delhivery,2-7 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/Bengaluru, Mumbai (All Areas)", Build a strong client relationship to ensure that the account performs and grows to its...,12 Days Ago
Endpoint Management Professional,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", 5+ years experience working with PC/Mac infrastructure as an engineer level SCCM & Intu...,15 Days Ago
ELK Implementer /Administrator,Capgemini,9-12 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Work directly with application development and support teams to gather requirements and...,10 Days Ago
Senior Applications Consultant,Capgemini,6-9 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru", Kibana plugins Exposure to other APM tools Appdynamics Dynatrace Nagios etc Trained exp...,10 Days Ago
Sr. SAP SD Consultant ( 4- 10 Years ),Allegis Group,4-9 Yrs,Not disclosed,"Bhubaneswar, Pune, Ahmedabad, Bangalore/Bengaluru, Mumbai (All Areas)", Looking for candidate with B Tech /BE/ MCA / MBA/M Tech Passout Experience: 4 to 12 Loc...,10 Days Ago
Python Developer Lead,Hexaware Technologies,8-13 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", Good problem solving and influencing skills. Expert python technical architect (8+ year...,1 Day Ago
CSE Bulk Hiring-bangalore,2coms,0-5 Yrs,"60,000-3 Lacs PA","Hyderabad/Secunderabad, Bangalore North", Education Required: Any Graduation. Exp- should have customer support exp Landugae- sho...,1 Day Ago
Hiring For Relationship Manager- Wealth Channel,Kotak Life Insurance,3-6 Yrs,4-6 Lacs PA,"Thane, Maharashtra, Pune, Maharashtra, Ahmedabad, Gujarat, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)", *Attractive incentives . Desired candidate profile: . - Must be a graduate. . - Must ha...,2 Days Ago
Sr Mgr - CV P&SC IT Digital Marketing,Tata Motors Finance,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Graduation Preferred Industry Working Knowledge Working understanding of Digital IT lic...,30+ Days Ago
SMTE - Labcar & HILS,Tata Motors Finance,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience in automotive electrical system development / validation Labview and Matlab ...,30+ Days Ago
Senior Manager(L5)_Safety,Tata Motors Finance,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Brief Role Description ECU Senior Manager is responsible for development of Safety and ...,30+ Days Ago
Senior Manager(L5) - Std- Customer Support Manager,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", 3-7 years of experience in a technical and / or customer servicing role preferably in a...,30+ Days Ago
Senior Manager(L5) - Maintenance BIW,Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering in Electrical Experience : Minimum 5 Years of Industry experien...,30+ Days Ago
Senior Manager(L5),Tata Motors Finance,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience : Minimum 5 Years of Industry experience-BIW Maintenance .,30+ Days Ago
Senior Manager (L5) - Plant Quality (Powertrain),Tata Motors Finance,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . Work Experience . Tata Motors Leadership Competencies,30+ Days Ago
Senior Manager (L5) - Engineer C&C,Tata Motors Finance,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Minimum Qualification Specialization (e.gDomain Knowledge : Must have : Vehicle aggrega...,30+ Days Ago
EV - Product Specialist,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Ensure EV customers have a differentiated customer experience that dealerships / stores...,30+ Days Ago
"Senior Manager- Interior Trims, B&T",Tata Motors Finance,8-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," and tooling requirements, manufacturing processes and moulding processes. Good working ...",30+ Days Ago
Senior Manager (L5) - Engineer Vehicle Integration HCV,Tata Motors Finance,8-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Education Graduation in Engineering Relevant Experience : 8+ years in product developme...,30+ Days Ago
Customer Support Manager-PVBU,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", B Tech in Automobile or Mechanical Minimum 3 years of experience in Automobile industry...,30+ Days Ago
Assistant Manager - Detailed Engineering (Mech),Tata Chemicals,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Responsible for in house designing and detailing for execution of new projects, expansi...",30+ Days Ago
Assistant Manager - Detailed Engineering (Civil),Tata Chemicals,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Education Requirements . : BE - Civil, Post - Graduation in structur...",30+ Days Ago
CN - Strategy - MC - CFO EV - EP Management - EPM - Manager,Accenture,8-13 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"," Candidate should be self-motivated with strong analytical, problem solving, interperson...",25 Days Ago
Coach Cust Svc,Sykes,1-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Should exhibit People Management Skills. Should be aware of the various Operations and ...,7 Days Ago
Digital Solutions - Jira Admin,TELUS International,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Skills Required . Groovy Scripting using Script Runner Add-on . Jira Software, Jira Ser...",7 Days Ago
Sr DevOps,Photon,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," . Job Requirement . Exert technical influence over multiple teams, increasing their pro...",8 Days Ago
Senior Manager (L5) - Cost Engineering Delivery,Tata Motors Finance,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Cost Engineer is responsible to develop part level target costing, prepare detailed sho...",30+ Days Ago
Charging Regional Manager - East,Tata Motors Finance,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Education Graduate (graduation degree in electrical / electronics preferred) with prefe...,30+ Days Ago
Senior Statistical Programming,Cytel,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Create programs to create graphs and tables that are required in CSRs, safety reports, ...",9 Days Ago
Sr. Front-End Developer,Fareportal,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Ability to work and thrive in a fast-paced environment, learn rapidly and master divers...",9 Days Ago
Devops Engineer,Fareportal,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Experience in designing and maintaining cloud-based solutions with Azure / AWS . Experi...,9 Days Ago
Python Backend Developer (PAN India) - MC,Tech Mahindra,7-12 Yrs,22.5-25 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/ Gurugram, Haryana, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Shift Timings General Shift . Mode - Hybrid Years of Experience - 7+ years . Notice Per...,30+ Days Ago
Coach Cust Svc-Ally Professional,Foundever,2-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Minimum Graduate (Any Bachelor s Degree) . Should exhibit People Management Skills . Sh...,30+ Days Ago
Buyer - E&E / Sr. Manager,Tata Motors Finance,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Engineering in Mechanical Engineering or Electrical . Work Experience . Tat...,30+ Days Ago
Sales Officer,Godrej Industries,3-8 Yrs,Not disclosed,"Kolkata, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Further to organize and maintain an effective admin system which includes Customer Reco...,2 Days Ago
Senior statistical programmer,Cytel,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Qualifications and Experience: . Bachelors or Masterss degree in Computer Science, Stat...",11 Days Ago
"A&MS Layout Design Engr, Sr I",Synopsys,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Automation focused and forward-looking thought process . Sound knowledge of custom Anal...,11 Days Ago
"A&MS Circuit Design Engr, Sr I",Synopsys,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", This individual should have strong technical experience in full custom analog / mixed-s...,11 Days Ago
Scheduler Analyst - Workforce Management,TELUS International,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," staffing projections, scheduling, service level analysis, metrics monitoring) . Verint ...",11 Days Ago
Personalized Internet Assessor India (Punjabi Language),TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," You should also be flexible, reliable and have the ability to interpret and follow esta...",30+ Days Ago
Personalized Internet Ads Assessor Tamil Language,TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . You must be living in India for the last 3 consecutive years You must have familiarit...,30+ Days Ago
Personalized Internet Ads Assessor English Language,TELUS International,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", . You must be living in India for the last 3 consecutive years You must have familiarit...,30+ Days Ago
